macrozona;nombre;marca;codigo;n;precio_compra_prom;precio_compra_std;margen_error_compra;precio_compra_sup;precio_compra_inf;perc_error_compra;precio_venta_prom;precio_venta_std;margen_error_venta;precio_venta_sup;precio_venta_inf;perc_error_venta
MACROZONA_4;MERMELADA LOS LAGOS DURAZNO 250G;LOS LAGOS;7,80281E+12;39;432.54;79.77;25.04;457.57;407.5;5.788;678.62;109.06;34.23;712.84;644.39;5.044
MACROZONA_4;ROLLO 50G MARINELA;MARINELA;7,80347E+12;51;251.53;28.02;7.69;259.22;243.84;3.057;373.31;40.32;11.07;384.38;362.25;2.964
MACROZONA_4;GOMITAS REGALIZ FINI 80 G, FRUTILLA DULCE;MARCA DUMMY;7,89859E+12;16;640.31;62.18;30.47;670.78;609.85;4.758;984.38;83.1;40.72;1025.1;943.65;4.137
MACROZONA_4;ALFAJOR BON O BON 40 G.;BON O BON;7,79004E+12;33;309.91;37.42;12.77;322.67;297.14;4.119;466.30;49.32;16.83;483.13;449.48;3.609
MACROZONA_4;GOMITAS AMBROSOLI AMBERRIES 25 GRS;AMBROSOLI;7,8022E+12;61;125.02;17.01;4.27;129.28;120.75;3.414;236.82;40.72;10.22;247.04;226.6;4.315
MACROZONA_4;GOMITAS AMBROSITO 25G;AMBROSITO;7,8022E+12;60;126.60;23.57;5.96;132.56;120.64;4.711;231.30;35.75;9.05;240.35;222.25;3.911
MACROZONA_4;GOMITAS FLIPY AMBROSOLI 25 GR;AMBROSOLI;7,8022E+12;55;125.36;25.22;6.66;132.03;118.7;5.316;236.35;48.54;12.83;249.17;223.52;5.428
MACROZONA_4;TABLETA CHOCOLATE ROCKLETS 140 G;ROCKLETS;7,80223E+12;31;926.65;122.75;43.21;969.86;883.43;4.663;1345.39;152.28;53.61;1398.99;1291.78;3.984
MACROZONA_4;ARCOR CHOCOLATE TABLETA LECHE 100 G;ARCOR;7,80223E+12;26;871.88;116.91;44.94;916.82;826.95;5.154;1246.00;148.68;57.15;1303.15;1188.85;4.587
MACROZONA_4;CHOCOLATE ROCKLETS MANI 130G;ROCKLETS;7,80223E+12;20;924.90;124.61;54.61;979.51;870.29;5.905;1321.95;141.08;61.83;1383.78;1260.12;4.677
MACROZONA_4;SUFLÉS DE PAPA CRUNCHIS X 280 G;MARCO POLO;7,80242E+12;23;1213.13;269.9;110.31;1323.44;1102.82;9.093;1781.26;314.59;128.57;1909.83;1652.69;7.218
MACROZONA_4;TOALLA ABOLENGO MINI 10MT X 3 UN;ABOLENGO;7,8065E+12;21;701.19;177.38;75.86;777.06;625.33;10.819;1006.62;172.0;73.57;1080.18;933.05;7.308
MACROZONA_4;LIMPIADOR POETT LAVANDA 900 ML;MARCA DUMMY;7,79296E+12;24;1038.29;146.29;58.53;1096.82;979.76;5.637;1500.29;144.18;57.68;1557.97;1442.61;3.845
MACROZONA_4;LIMPIADOR POETT PRIMAVERA 485 CC;POETT;7,80503E+12;38;559.00;106.88;33.98;592.98;525.02;6.079;1030.53;1137.12;361.55;1392.08;668.97;35.084
MACROZONA_4;PANELA CHANCACA DELICIOSA X 400 GR;CHANCACA DELICIOSA;7,80504E+12;64;1382.63;276.71;67.79;1450.42;1314.83;4.903;2013.03;265.79;65.12;2078.15;1947.91;3.235
MACROZONA_4;FRUNA GALLETA CARIOCA 64GR;FRUNA;7,80241E+12;36;131.36;27.13;8.86;140.22;122.5;6.746;225.92;37.1;12.12;238.04;213.8;5.364
MACROZONA_4;AGUA MINERAL CACHANTUN 1.6 L;CACHANTUN;7,80162E+12;83;581.00;55.62;11.97;592.97;569.03;2.06;869.35;106.78;22.97;892.32;846.38;2.642
MACROZONA_4;CRUNCHIS TUBOS QUESO MARCO POLO 270 G;MARCO POLO;7,80242E+12;16;1247.00;137.54;67.39;1314.39;1179.61;5.404;1863.63;270.9;132.74;1996.37;1730.88;7.123
