"macrozona","nombre","marca","codigo","n","precio_compra_prom","precio_compra_std","margen_error_compra","precio_compra_sup","precio_compra_inf","perc_error_compra","precio_venta_prom","precio_venta_std","margen_error_venta","precio_venta_sup","precio_venta_inf","perc_error_venta"
MACROZONA_4,SNACK MIX I 120G,SNACK MIX,"7802000011887",2,775.00,35.36,49.0,824.0,726.0,6.323,1100.00,0.0,0.0,1100.0,1100.0,0.0
MACROZONA_4,ALFAJOR LAGUITO 70 G,LAGUITO,"7803403000737",59,271.69,27.37,6.98,278.68,264.71,2.57,401.51,46.29,11.81,413.32,389.7,2.942
MACROZONA_4,RAYITA VAINILLA 2P 60G MARINELA,MARINELA,"7803473003232",64,237.39,23.15,5.67,243.06,231.72,2.389,380.89,60.68,14.87,395.76,366.03,3.903
MACROZONA_4,ALFI MARINELA 45G,MARINELA,"7803473002020",64,213.03,22.19,5.44,218.47,207.59,2.552,324.14,42.71,10.46,334.6,313.68,3.228
MACROZONA_4,GANSITO MARINELA 50 G,MARINELA,"7803473543189",77,319.49,58.47,13.06,332.55,306.43,4.088,463.08,71.52,15.98,479.05,447.1,3.45
MACROZONA_4,HELADO PINGUINO 3 UN MARINELA,MARINELA,"7803473003461",66,466.91,47.19,11.39,478.29,455.52,2.438,671.59,51.88,12.52,684.11,659.07,1.864
MACROZONA_4,QUEQUE CLASICO 225G CENA,CENA,"7803473300034",53,780.40,96.18,25.89,806.29,754.5,3.318,1105.45,124.54,33.53,1138.98,1071.92,3.033
MACROZONA_4,PIZZA RECTANGULAR 3P 750G IDEAL,IDEAL,"7803403232114",37,1719.57,206.95,66.68,1786.25,1652.88,3.878,2261.84,219.06,70.59,2332.43,2191.25,3.121
MACROZONA_4,GOLD TENTACIONES  CARAMEL LATTE 152 G,TENTACIONES,"7802800503759",27,262.59,52.06,19.64,282.23,242.96,7.478,414.41,71.39,26.93,441.33,387.48,6.498
MACROZONA_4,MERMELADA LOS LAGOS FRUTILLA 250G,LOS LAGOS,"7802810031174",36,427.28,67.96,22.2,449.48,405.08,5.196,668.83,88.68,28.97,697.8,639.87,4.331
MACROZONA_4,MERMELADA LOS LAGOS DURAZNO 250G,LOS LAGOS,"7802810031129",39,432.54,79.77,25.04,457.57,407.5,5.788,678.62,109.06,34.23,712.84,644.39,5.044
